RECORD_ID,PUBLISHED_DATE,DATE_LAST_MODIFIED,AGENCY_ACRONYM,AGENCY_NAME,DATA_OWNER,DATASET_NAME,DATASET_SUMMARY,DATASET_CLASSIFICATION_NAME,DATASET_CLASSIFICATION_REASON,DATASET_TYPE,DATASET_CATEGORY,KEYWORDS,EARLIEST_DATE_OF_RECORDS,UPDATE_INTERVAL,INTEREST,DATASET_URL,OBJECTID,OPENDATA_PORTAL
4570,2018-03-11,,DCPL,DC Public Library,DCPL,Programs and Outreach,"Library staff that conduct programs log each program that they conduct into a Google Form that creates a Google document that tracks each library program and its characteristics. Customized, summary information reports are pulled to report on DCPL  programs and outreach.",Public Not Proactively Released,The dataset contains non-standardized responses that need to be reviewed for quality control and accuracy; requires subjective redaction.,Database,Public Services,"public service, Programs, Outreach, Story Time, Technology, Computer",2016-01-10,Yearly,Occasional Requests,,1642,No
4571,2018-03-11,,DCPL,DC Public Library,DCPL,Database Usage_InternalOnly,"The Database Usage dataset counts the number of times users interact with each database. Due to different vendor reporting methods the same counting metric cannot be used for each database. ""Database Usage"" captures only one metric for each database and can include one of the following: downloads, views, clicks on links, searches, or sessions. These datasets include personally identifiable information (PII) of users.  ",Confidential,"This dataset includes Personally Identifiable Information (PII)  including the patron's User ID which is linked to email, pin, street address, birthdate, and library activities. Public Library User Information is explicitly mentioned as Level III in the classifications description provided by OCTO.",Database,Public Services,"public service, Database",2008-01-01,Real-Time/Near Real-Time,Occasional Requests,"https://www.dclibrary.org/godigital/all
",1643,No
4572,2018-03-11,,DCPL,DC Public Library,DCPL,Database Usage,"The database usage dataset is an excel file that is the result of a custom query of DCPL's digital vendor databases. The dataset counts the number of times users interact with each database. Due to different vendor reporting methods the same counting metric cannot be used for each database. ""Database Usage"" captures only one metric for each database and can include one of the following: downloads, views, clicks on links, searches, or sessions.",Public Not Proactively Released,This is a customized report representing an administrative burden.,Database,Public Services,public service,2008-01-01,Quarterly,Occasional Requests,https://www.dclibrary.org/godigital/all,1644,No
4573,2018-03-11,2017-12-11 00:00:00,DCPL,DC Public Library,DCPL,Patron Digital Catalog Transactions_InternalOnly,"These datasets track downloads of digital content.  The output of these datasets are used to count the number of digital transactions.  Content includes: downloads of OverDrive eBooks, Audiobooks, and Video; downloads of digital magazines on RGB digital; downloads and streaming of songs on Freegal; and movies streamed on InstantFlix. These datasets contain personally identifiable information (PII) of borrowers.",Confidential,"These datasets include Personally Identifiable Information (PII) including the patron's User ID which is linked to email, pin, street address, birthdate, and library activities. Public Library User Information is explicitly mentioned as Level III in the classifications description provided by OCTO.",Database,Public Services,"public service, Books, DVDs, CDs, Movies, Items",2006-12-18,Real-Time/Near Real-Time,Occasional Requests,"www.dclibrary.org/overdrive ; www.dclibrary.org/freegal; www.dclibrary.org/instantflix
",1645,No
4574,2018-03-11,,DCPL,DC Public Library,DCPL,Summer Reading Participation,This dataset aggregates and reports yearly data including the number of summer reading registrations and completions by Branch.,Public Not Proactively Released,This dataset needs to be reviewed for quality control and accuracy; may require subjective redaction.,Database,Public Services,"public service, Summer Reading",2012-06-01,Yearly,Occasional Requests,https://www.dclibrary.org/summerreading,1646,No
4575,2018-03-11,,DCPL,DC Public Library,DCPL,Summer Reading Participation_Internal Only,"This dataset describes the number of DCPL Summer Reading Registrations and Completions and various participant characteristics such as name, age, school, books read, minutes read.",Confidential,This dataset includes Personally Identifiable Information (PII) including the participant's User Name which is linked to personal characteristics including age and reading activities.,Database,Public Services,"public service, Summer Reading",2016-06-01,Real-Time/Near Real-Time,Occasional Requests,,1647,No
4576,2018-03-11,,DCPL,DC Public Library,DCPL,Books from Birth_InternalOnly,This dataset lists each unique Books from Birth registration by date and participant and includes each participant's corresponding characteristics. This dataset contains registrants? personally identifiable information (PII)/sensitive health records.,Confidential,This dataset contains participant's Personally Identifiable Information (PII) including sensitive health records.,Database,Public Services,"public service, Books from Birth, Infants, Reading, Children",2013-04-15,Real-Time/Near Real-Time,Occasional Requests,"https://www.dclibrary.org/freebooks
",1648,No
4577,2018-03-11,,DCPL,DC Public Library,DCPL,Books from Birth,This dataset represents a customized report drawn from the Books from the Birth dataset and excludes personally identifiable information (PII).,Public Not Proactively Released,This is a customized report representing an administrative burden.,Database,Public Services,"public service, Books from Birth, Infants, Reading, Children",2015-01-01,Yearly,Occasional Requests,https://www.dclibrary.org/freebooks,1649,No
4578,2018-03-11,,DCPL,DC Public Library,DCPL,Patron Digital Catalog Transactions,"This dataset tracks all downloads and streaming of digital content including eBooks, Audiobooks, Magazines, Music, and Movies. The output of this dataset is used in reporting to calculate the relationship between active users and active items across the library system.",Public Not Proactively Released,This is a customized report pulled from multiple databases representing an administrative burden.,Database,Public Services,"public service, Books, DVDs, CDs, Movies, Items, Digital Library",2006-12-18,Quarterly,Occasional Requests,https://catalog.dclibrary.org/client/en_US/dcpl,1650,No
4579,2018-03-11,,DCPL,DC Public Library,DCPL,Active Cardholders,"This dataset tracks the number of unique active library users who registered for a new library card or existing cardholders who used a library resource (including online databases, physical checkouts, or other activities via their user account) in the last 3 years.",Open,NA,Database,Public Services,"public service, Users, Cardholders, Members",1999-11-11,Quarterly,Occasional Requests,https://www.dclibrary.org/getacard,1651,No
