ACRONYM,AGENCYNAME,DATASETNAME,DATAOWNER,DATASETCATEGORYNAME,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETTYPENAME,EARLIESTDATEOFRECORDS,EDI_ID,PUBLICINTERESTNAME,KEYWORDS,UPDATEINTERVALNAME,OPENDATA_PORTAL
ABRA,Alcohol Beverage Regulation Administration,Liquor Moratorium Zones,ABRA,Business and Economic Development,Level 0,,Database,,2995,Frequent Requests,"liquor, moratorium zone, regulation, license",Unknown,True
ABRA,Alcohol Beverage Regulation Administration,Liquor License Locations,ABRA,Business and Economic Development,Level 0,,Database,00:00.0,3205,Frequent Requests,economy,Yearly,True
AOC,Architect of the Capitol,Architect of the Capitol,AOC,Administrative and Other Boundaries,Level 0,,Database,,3206,Frequent Requests,boundaries,Yearly,True
BOE,Board of Elections,Voting Precinct 1990,BOE,Administrative and Other Boundaries,Level 0,,Database,,3208,Frequent Requests,boundaries,Static,True
BOE,Board of Elections,Polling Place,BOE,Administrative and Other Boundaries,Level 0,,Database,,3209,Frequent Requests,boundaries,Yearly,True
BOE,Board of Elections,Campaign Financial Expenditures,BOE,Public Services,Level 0,,Database,,3210,Frequent Requests,public Services,Weekly,True
BOE,Board of Elections,Campaign Financial Contributions,BOE,Public Services,Level 0,,Database,,3211,Frequent Requests,public Services,Weekly,True
BOE,Board of Elections,Voting Precinct 2002,BOE,Administrative and Other Boundaries,Level 0,,Database,,3212,Frequent Requests,boundaries,Static,True
BOE,Board of Elections,Voting Precinct 2008,BOE,Administrative and Other Boundaries,Level 0,,Database,,3213,Frequent Requests,boundaries,Static,True
BOE,Board of Elections,Voting Precinct 2012,BOE,Administrative and Other Boundaries,Level 0,,Database,,3214,Frequent Requests,boundaries,Static,True
BOE,Board of Elections,Alternate Polling Place,BOE,Government Operations,Level 0,,Database,,2072,Occasional Requests,"government operations, polling, elections, voting, boundary",Yearly,True
BOE,Board of Elections,Early Polling Places,BOE,Government Operations,Level 0,,Database,,2074,Occasional Requests,"government operations, voting, polling, elections",Yearly,True
BEGA,Board of Ethics and Government Accountability,Lobbyist Registration,BEGA,Government Operations,Level 0,,Database,00:00.0,2070,Occasional Requests,government operations,Yearly,False
BEGA,Board of Ethics and Government Accountability,Financial Disclosure,BEGA,Government Operations,Level 0,,Database,00:00.0,2071,Occasional Requests,government operations,Yearly,False
CENSUS,Census Bureau,Public Use Microdata Areas (PUMA),CENSUS,Demographic,Level 0,,Database,,3219,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1930,CENSUS,Demographic,Level 0,,Database,,3220,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1940,CENSUS,Demographic,Level 0,,Database,,3221,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1950,CENSUS,Demographic,Level 0,,Database,,3222,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1960,CENSUS,Demographic,Level 0,,Database,,3223,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1970,CENSUS,Demographic,Level 0,,Database,,3224,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1980,CENSUS,Demographic,Level 0,,Database,,3225,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 1990,CENSUS,Demographic,Level 0,,Database,,3226,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 2000,CENSUS,Demographic,Level 0,,Database,,3227,Frequent Requests,society,Yearly,True
CENSUS,Census Bureau,Census Tracts 2010,CENSUS,Demographic,Level 0,,Database,,3228,Frequent Requests,society,Yearly,True
CFSA,Child and Family Services Agency,Collaborative Area,CFSA,Administrative and Other Boundaries,Level 0,,Database,,3230,Frequent Requests,boundaries,Yearly,True
CFSA,Child and Family Services Agency,Demographics of Children in Foster Care,Child and Family Services Agency,Health and Human Services,Level 0,,Other,,2203,No Info,"health, foster care, demographics, age, race, ethnicity, ward, child welfare, children",Monthly,False
CFSA,Child and Family Services Agency,Demographics of Children Supported to Remain with Family of Origin,Child and Family Services Agency,Health and Human Services,Level 0,,Other,,2204,No Info,"health, CFSA, child welfare, in-home, family preservation, support, ward",Yearly,False
CFSA,Child and Family Services Agency,Hotline Calls,Child and Family Services Agency,Health and Human Services,Level 0,,Other,,2205,Occasional Requests,"health, child welfare, social services, hotline, abuse, neglect, child protective services",Yearly,False
CAH,Commission For The Arts and Humanities,Arts and Culture Organizations as 501(c)3,CFA,Cultural and Society,Level 0,,Database,,3010,Frequent Request,"art, artist, cultural, 501(c)3, dccah, dc, dc gis, society",Yearly,True
CAH,Commission For The Arts and Humanities,Washington DC Public Art,CFA,Cultural and Society,Level 0,,Database,,2986,Frequent Request,"art,artist,cultural ,dc : dc gis,  grant  society",Yearly,True
CAH,Commission For The Arts and Humanities,Commission of Fine Arts Review Area,CFA,Administrative and Other Boundaries,Level 0,,Database,,3229,Frequent Requests,boundaries,Static,True
CAH,Commission For The Arts and Humanities,Commission on the Arts and Humanities Arts Organizations,CAH,Cultural and Society,Level 0,,Database,,3215,Frequent Requests,society,Static,True
CAH,Commission For The Arts and Humanities,Commission of Arts and Humanities Inventory of Public Art,CAH,Cultural and Society,Level 0,,Database,,3216,Frequent Requests,society,Yearly,True
CAH,Commission For The Arts and Humanities,Commission on the Arts and Humanities Awards,CAH,Cultural and Society,Level 0,,Database,,3217,Frequent Requests,society,Static,True
CAH,Commission For The Arts and Humanities,2014 National Endowment Art Grants,CAH,Cultural and Society,Level 0,,Database,,3218,Frequent Requests,society,No Info,True
CFMB,"Commission on Fathers, Men and Boys",CFMB Books and Barbershops,"Commission on Fathers, Men, and Boys",Education,Level 0,,Database,,2075,No Info,"education, barbershops, books, reading, literacy, early childhood education",Static,False
CT,Cultural Tourism,Cultural Toursim - Heritage Trail Signs,CT,Cultural and Society,Level 0,,Database,,3231,Frequent Requests,society,Yearly,True
CT,Cultural Tourism,Cultural Tourism - Heritage Trail,CT,Cultural and Society,Level 0,,Database,,3232,Frequent Requests,society,Yearly,True
BID,DC BID Council,Business Improvement Districts,BID,Business and Economic Development,Level 0,,Database,,3207,Frequent Requests,economy,Yearly,True
DCHA,DC Housing Authority,Public Housing Areas,DCHA,Public Services,Level 0,,Database,,3234,Frequent Requests,public Services,Static,True
DCOZ,DC Office of Zoning,Zoning Cases,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3240,Frequent Requests,planningCadastre,Yearly,True
DCOZ,DC Office of Zoning,Campus Areas - Zoning,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3241,Frequent Requests,planningCadastre,Static,True
DCOZ,DC Office of Zoning,Zoning - Downtown designated streets,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3242,Frequent Requests,planningCadastre,Static,True
DCOZ,DC Office of Zoning,Zoning - Downtown Subareas,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3243,Frequent Requests,planningCadastre,Yearly,True
